FrozenLakeP0-8@0.8
PI Convergence True  gamma(1.0), theta(1e-07) reached at 59/2000 iterations in 0.77(s). delta=0.0117455896, mean=0.4285, reward=0.698. rewards/iterations=0.482
PI Convergence True  gamma(0.7), theta(1e-07) reached at 26/2000 iterations in 0.38(s). delta=2.5739e-06, mean=0.0268, reward=0.561. rewards/iterations=0.273
PI Convergence True  gamma(0.7), theta(1e-05) reached at 23/2000 iterations in 0.31(s). delta=7.7868e-06, mean=0.0268, reward=0.561. rewards/iterations=0.26
PI Convergence True  gamma(0.7), theta(0.001) reached at 11/2000 iterations in 0.13(s). delta=0.0007917095, mean=0.0262, reward=0.0. rewards/iterations=0.0
PI Convergence True  gamma(0.4), theta(1e-07) reached at 15/2000 iterations in 0.19(s). delta=6.33e-08, mean=0.015, reward=0.548. rewards/iterations=0.1
PI Convergence True  gamma(0.4), theta(1e-05) reached at 10/2000 iterations in 0.13(s). delta=7.6092e-06, mean=0.015, reward=0.0. rewards/iterations=0.0
PI Convergence True  gamma(0.4), theta(0.001) reached at 6/2000 iterations in 0.09(s). delta=0.0004354458, mean=0.015, reward=0.0. rewards/iterations=0.0
FrozenLakeP0-8@0.8
PI Convergence True  gamma(1.0), theta(1e-07) reached at 43/2000 iterations in 0.58(s). delta=0.0144020952, mean=0.3752, reward=0.632. rewards/iterations=0.424
PI Convergence True  gamma(1.0), theta(1e-05) reached at 43/2000 iterations in 0.57(s). delta=0.0144020952, mean=0.3752, reward=0.632. rewards/iterations=0.424
PI Convergence True  gamma(1.0), theta(0.001) reached at 43/2000 iterations in 0.55(s). delta=0.0144020952, mean=0.3752, reward=0.632. rewards/iterations=0.424
PI Convergence True  gamma(0.7), theta(1e-07) reached at 26/2000 iterations in 0.33(s). delta=2.5739e-06, mean=0.0268, reward=0.561. rewards/iterations=0.273
PI Convergence True  gamma(0.7), theta(1e-05) reached at 23/2000 iterations in 0.31(s). delta=7.7868e-06, mean=0.0268, reward=0.561. rewards/iterations=0.26
PI Convergence True  gamma(0.7), theta(0.001) reached at 11/2000 iterations in 0.14(s). delta=0.0007917095, mean=0.0262, reward=0.0. rewards/iterations=0.0
PI Convergence True  gamma(0.4), theta(1e-07) reached at 15/2000 iterations in 0.21(s). delta=6.33e-08, mean=0.015, reward=0.548. rewards/iterations=0.1
PI Convergence True  gamma(0.4), theta(1e-05) reached at 10/2000 iterations in 0.13(s). delta=7.6092e-06, mean=0.015, reward=0.0. rewards/iterations=0.0
PI Convergence True  gamma(0.4), theta(0.001) reached at 6/2000 iterations in 0.09(s). delta=0.0004354458, mean=0.015, reward=0.0. rewards/iterations=0.0
