VI Convergence True  gamma(1.0), theta(1e-08) reached at 4/1000 iterations in 14.8(s). delta=0.0, mean=0.3529, reward=0.416. rewards/iterations=0.504
VI Convergence True  gamma(1.0), theta(1e-08) reached at 5/1000 iterations in 19.7(s). delta=0.0, mean=0.3758, reward=0.398. rewards/iterations=0.454
PI Convergence True  gamma(1.0), theta(1e-08) reached at 1/1000 iterations in 0.01(s). delta=0.0, mean=0.0, reward=0.337. rewards/iterations=0.337
VI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 29.35(s). delta=0.0, mean=0.3877, reward=0.389. rewards/iterations=0.437
PI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 0.32(s). delta=0.0, mean=0.3877, reward=0.416. rewards/iterations=0.38
VI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 30.33(s). delta=0.0, mean=0.3877, reward=0.389. rewards/iterations=0.437
PI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 0.31(s). delta=0.0, mean=0.3877, reward=0.416. rewards/iterations=0.38
VI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 29.31(s). delta=0.0, mean=0.3877, reward=0.389. rewards/iterations=0.437
PI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 0.29(s). delta=0.0, mean=0.3877, reward=0.416. rewards/iterations=0.38
VI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 29.42(s). delta=0.0, mean=0.3877, reward=0.389. rewards/iterations=0.437
PI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 0.31(s). delta=0.0, mean=0.3877, reward=0.416. rewards/iterations=0.38
VI Convergence True  gamma(1.0), theta(1e-08) reached at 6/1000 iterations in 30.06(s). delta=0.0, mean=0.3877, reward=0.389. rewards/iterations=0.437
PI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 0.32(s). delta=0.0, mean=0.3877, reward=0.416. rewards/iterations=0.38
VI Convergence True  gamma(1.0), theta(1e-08) reached at 7/1000 iterations in 48.86(s). delta=0.0, mean=0.3938, reward=0.397. rewards/iterations=0.436
PI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 1.33(s). delta=0.0, mean=0.3938, reward=0.413. rewards/iterations=0.387
VI Convergence True  gamma(1.0), theta(1e-08) reached at 7/1000 iterations in 43.7(s). delta=0.0, mean=0.3938, reward=0.397. rewards/iterations=0.436
PI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 1.09(s). delta=0.0, mean=0.3938, reward=0.413. rewards/iterations=0.387
VI Convergence True  gamma(1.0), theta(1e-08) reached at 7/1000 iterations in 46.2(s). delta=0.0, mean=0.3938, reward=0.397. rewards/iterations=0.436
PI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 1.22(s). delta=0.0, mean=0.3938, reward=0.413. rewards/iterations=0.387
VI Convergence True  gamma(1.0), theta(1e-08) reached at 7/1000 iterations in 46.13(s). delta=0.0, mean=0.3938, reward=0.397. rewards/iterations=0.436
PI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 1.11(s). delta=0.0, mean=0.3938, reward=0.413. rewards/iterations=0.387
VI Convergence True  gamma(1.0), theta(1e-08) reached at 7/1000 iterations in 43.78(s). delta=0.0, mean=0.3938, reward=0.397. rewards/iterations=0.436
PI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 1.11(s). delta=0.0, mean=0.3938, reward=0.413. rewards/iterations=0.387
VI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 74.64(s). delta=0.0, mean=0.3969, reward=0.427. rewards/iterations=0.45
PI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 4.65(s). delta=0.0, mean=0.3969, reward=0.444. rewards/iterations=0.4
VI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 75.61(s). delta=0.0, mean=0.3969, reward=0.427. rewards/iterations=0.45
PI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 4.93(s). delta=0.0, mean=0.3969, reward=0.444. rewards/iterations=0.4
VI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 84.28(s). delta=0.0, mean=0.3969, reward=0.427. rewards/iterations=0.45
PI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 4.64(s). delta=0.0, mean=0.3969, reward=0.444. rewards/iterations=0.4
VI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 72.09(s). delta=0.0, mean=0.3969, reward=0.427. rewards/iterations=0.45
PI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 5.1(s). delta=0.0, mean=0.3969, reward=0.444. rewards/iterations=0.4
VI Convergence True  gamma(1.0), theta(1e-08) reached at 8/1000 iterations in 79.07(s). delta=0.0, mean=0.3969, reward=0.427. rewards/iterations=0.45
PI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 4.96(s). delta=0.0, mean=0.3969, reward=0.444. rewards/iterations=0.4
VI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 117.39(s). delta=0.0, mean=0.3984, reward=0.413. rewards/iterations=0.434
PI Convergence True  gamma(1.0), theta(1e-08) reached at 11/1000 iterations in 18.53(s). delta=0.0, mean=0.3984, reward=0.414. rewards/iterations=0.396
VI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 113.36(s). delta=0.0, mean=0.3984, reward=0.413. rewards/iterations=0.434
PI Convergence True  gamma(1.0), theta(1e-08) reached at 11/1000 iterations in 19.28(s). delta=0.0, mean=0.3984, reward=0.414. rewards/iterations=0.396
VI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 112.96(s). delta=0.0, mean=0.3984, reward=0.413. rewards/iterations=0.434
PI Convergence True  gamma(1.0), theta(1e-08) reached at 11/1000 iterations in 18.99(s). delta=0.0, mean=0.3984, reward=0.414. rewards/iterations=0.396
VI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 111.7(s). delta=0.0, mean=0.3984, reward=0.413. rewards/iterations=0.434
PI Convergence True  gamma(1.0), theta(1e-08) reached at 11/1000 iterations in 18.71(s). delta=0.0, mean=0.3984, reward=0.414. rewards/iterations=0.396
VI Convergence True  gamma(1.0), theta(1e-08) reached at 9/1000 iterations in 111.73(s). delta=0.0, mean=0.3984, reward=0.413. rewards/iterations=0.434
PI Convergence True  gamma(1.0), theta(1e-08) reached at 11/1000 iterations in 18.44(s). delta=0.0, mean=0.3984, reward=0.414. rewards/iterations=0.396
VI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 196.59(s). delta=0.0, mean=0.3992, reward=0.408. rewards/iterations=0.416
PI Convergence True  gamma(1.0), theta(1e-08) reached at 12/1000 iterations in 80.97(s). delta=0.0, mean=0.3992, reward=0.42. rewards/iterations=0.383
VI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 192.77(s). delta=0.0, mean=0.3992, reward=0.408. rewards/iterations=0.416
PI Convergence True  gamma(1.0), theta(1e-08) reached at 12/1000 iterations in 79.0(s). delta=0.0, mean=0.3992, reward=0.42. rewards/iterations=0.383
VI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 187.81(s). delta=0.0, mean=0.3992, reward=0.408. rewards/iterations=0.416
PI Convergence True  gamma(1.0), theta(1e-08) reached at 12/1000 iterations in 78.86(s). delta=0.0, mean=0.3992, reward=0.42. rewards/iterations=0.383
VI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 190.7(s). delta=0.0, mean=0.3992, reward=0.408. rewards/iterations=0.416
PI Convergence True  gamma(1.0), theta(1e-08) reached at 12/1000 iterations in 79.35(s). delta=0.0, mean=0.3992, reward=0.42. rewards/iterations=0.383
VI Convergence True  gamma(1.0), theta(1e-08) reached at 10/1000 iterations in 188.46(s). delta=0.0, mean=0.3992, reward=0.408. rewards/iterations=0.416
PI Convergence True  gamma(1.0), theta(1e-08) reached at 12/1000 iterations in 77.61(s). delta=0.0, mean=0.3992, reward=0.42. rewards/iterations=0.383
